response_time_ms,message_size_bytes,worker_id_encoded,endpoint_encoded,status_encoded,hour,day_of_week,anomaly_score,prediction
169.91,178,0,0,1,5,1,0.18054063924705155,Normal
182.04,176,0,0,1,5,1,0.21621071829423028,Normal
161.87,174,0,0,1,5,1,0.2254701457496498,Normal
197.86,172,0,0,1,5,1,0.20638380049161853,Normal
96.7,172,0,0,1,5,1,0.23587410532634073,Normal
1506.42,187,0,0,1,6,1,-0.015306069233194775,Anomaly
64.12,5613,0,0,1,6,1,-0.09895160787346513,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
1699.82,170,0,0,1,6,1,-0.018897893323209236,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
1544.18,207,0,0,1,6,1,-0.04181866466728201,Anomaly
106.39,4969,0,0,1,6,1,-0.0773714547239277,Anomaly
1897.79,156,0,0,1,6,1,-0.07589390233345972,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
116.52,3013,0,0,1,6,1,-0.08027094294543502,Anomaly
1681.05,191,0,0,1,6,1,-0.016460483014486438,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
1721.31,5898,0,0,0,6,1,-0.16215784544212652,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
996.38,182,0,0,1,6,1,-0.06122380410077788,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
1571.02,6815,0,0,0,6,1,-0.16858932749624278,Anomaly
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
0.0,0,0,0,0,6,1,0.013577997603311354,Normal
